"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Auth\Login.js", "JavaScript", 247, 2, 25, 274
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Auth\SignUp.js", "JavaScript", 184, 1, 11, 196
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Chat\Chat.js", "JavaScript", 44, 1, 7, 52
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Chat\ChatMedia.js", "JavaScript", 110, 0, 10, 120
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Chat\ChatSidebar.js", "JavaScript", 88, 0, 9, 97
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Chat\Chatroom.js", "JavaScript", 25, 0, 6, 31
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Chat\MessageList.js", "JavaScript", 91, 0, 7, 98
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Chat\SharedMedia.js", "JavaScript", 44, 0, 4, 48
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\Mock.js", "JavaScript", 60, 0, 2, 62
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\_app.js", "JavaScript", 25, 10, 7, 42
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\api\hello.js", "JavaScript", 3, 1, 2, 6
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\BackGround.js", "JavaScript", 16, 0, 3, 19
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Chat.js", "JavaScript", 75, 1, 9, 85
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\ChatMedia.js", "JavaScript", 223, 116, 23, 362
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\ChatMedia2.js", "JavaScript", 228, 119, 23, 370
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\ChatSidebar.js", "JavaScript", 121, 0, 11, 132
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Emojis.js", "JavaScript", 26, 0, 3, 29
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Footer.js", "JavaScript", 4, 0, 2, 6
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Header.js", "JavaScript", 35, 13, 8, 56
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Layout.js", "JavaScript", 17, 0, 3, 20
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Loading.js", "JavaScript", 66, 0, 6, 72
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\MainSidebar.js", "JavaScript", 64, 0, 5, 69
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Message.js", "JavaScript", 447, 1, 26, 474
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\MessageList.js", "JavaScript", 345, 12, 42, 399
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Navbar.js", "JavaScript", 49, 0, 3, 52
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Notes.js", "JavaScript", 46, 0, 4, 50
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\SharedMedia.js", "JavaScript", 106, 0, 11, 117
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\SiteLogo.js", "JavaScript", 11, 0, 2, 13
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Voicenotes.js", "JavaScript", 175, 2, 19, 196
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\VoicenotesFunction.js", "JavaScript", 127, 0, 15, 142
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\keepChatMedia.js", "JavaScript", 89, 21, 10, 120
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\mp3keep.j.js", "JavaScript", 92, 0, 2, 94
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\direct\[id].js", "JavaScript", 96, 2, 16, 114
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\direct\idSavey.js", "JavaScript", 68, 2, 13, 83
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\index.js", "JavaScript", 9, 0, 2, 11
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\utils\getRecipientEmail.js", "JavaScript", 3, 0, 1, 4
"Total", "-", 3459, 304, 352, 4115
